Name,MatchID,VideoUrl,StartTime,EnemyJungler,Winner,Patch
bidqBtK0Hd8,5344643717,https://www.youtube.com/watch?v=bidqBtK0Hd8,1:20,Diana,Blue,11.15
oRMVvIriewU,5334576251,https://www.youtube.com/watch?v=oRMVvIriewU,1:22,Graves,Blue,11.14
dAGL5xrydUo,5326569918,https://www.youtube.com/watch?v=dAGL5xrydUo,1:07,Olaf,Red,11.14
3EzTJ4tmXKA,5326750258,https://www.youtube.com/watch?v=3EzTJ4tmXKA,1:23,Viego,Red,11.14
KbTmkrALaLM,5307156651,https://www.youtube.com/watch?v=KbTmkrALaLM,1:04,Gwen,Red,11.13
ZhoROlQluXw,5291299018,https://www.youtube.com/watch?v=ZhoROlQluXw,0:06,Nidalee,Red,11.13
m_jhvqtmoE,5357852875,https://www.youtube.com/watch?v=-m_jhvqtmoE,1:14,Diana,Red,11.15
0I-1-U7bcgY,5353602405,https://www.youtube.com/watch?v=0I-1-U7bcgY,1:12,XinZhao,Red,11.15
NPL3AENowDo,5353719037,https://www.youtube.com/watch?v=NPL3AENowDo,1:15,Viego,Red,11.15
jOUK8efu2EM,5344240480,https://www.youtube.com/watch?v=jOUK8efu2EM,1:15,Nidalee,Red,11.15
SV5_cPym_7o,5359855377,https://www.youtube.com/watch?v=SV5_cPym_7o,0:08,Gwen,Red,11.15
Sodn83u_kFQ,5369042922,https://www.youtube.com/watch?v=Sodn83u_kFQ,0:02,XinZhao,Red,11.15
uk4g0gt-NQE,5362506298,https://www.youtube.com/watch?v=uk4g0gt-NQE,0:02,Viego,Red,11.15
uu03GFrI1wU,5360191762,https://www.youtube.com/watch?v=uu03GFrI1wU,0:02,Olaf,Red,11.15
sNW-KwhVqZs,5357406162,https://www.youtube.com/watch?v=sNW-KwhVqZs,0:02,Rumble,Red,11.15
wDE_YLycT4M,5357748665,https://www.youtube.com/watch?v=wDE_YLycT4M,0:02,XinZhao,Red,11.15
VYnijgikia4,5353629623,https://www.youtube.com/watch?v=VYnijgikia4,0:02,Sejuani,Red,11.15
OZpVbV-CK2s,5369856875,https://www.youtube.com/watch?v=OZpVbV-CK2s,1:01,Viego,Blue,11.15
3CW1nm5C1w,5368955793,https://www.youtube.com/watch?v=-3CW1nm5C1w,1:04,Nidalee,Red,11.15
